layer,path,gene,TCGA-OR-A5K5|y=1,TCGA-OR-A5KO|y=3
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),DPYSL5,0.005059910842921678,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PLXNA2,0.00504388375357534,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),SEMA3A,0.005022906346162648,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),CRMP1,0.004987747578312107,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),CBX4,0.0007986570092693964,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),SCMH1,0.0007937203823950335,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RNF2,0.0007930781489299274,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PHC3,0.0007885794167921531,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RING1,0.0007878618622737289,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),BMI1,0.0007857891362234295,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),SUMO1,0.0004281543039477871,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),CBX6,0.000363954179871109,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),AAAS,0.00033679290416122553,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RANBP2,0.00033547005110025276,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),POM121C,0.0003350930971987229,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),CDKN2A,0.000303345449591038,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),HDAC2,0.00030244755441666705,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),SIN3A,0.0002754923599641453,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PPARG,0.0002753475018105482,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),MOV10,0.00024409893700589463,0.0
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),AGO2,0.0,0.0025780433296963834
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),AGO3,0.0,0.002030648918480371
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),BLM,0.0,0.0018163324146073384
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),NBN,0.0,0.0017841431063199409
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),KAT5,0.0,0.0017811683353418511
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RFC3,0.0,0.0012064801052366625
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RAD9A,0.0,0.0012013483481886078
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RAD1,0.0,0.0011967452104102994
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),HUS1,0.0,0.0011849462969384938
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),TSN,0.0,0.0010366425499722387
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),POLR2G,0.0,0.0010352135632620274
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),POLR2B,0.0,0.0010341453910262532
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),POLR2E,0.0,0.0010262608214258173
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),TNRC6A,0.0,0.0010259977384346197
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),RAN,0.0,0.0010229471413415736
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),TDRKH,0.0,0.0005211008315933463
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),PIWIL4,0.0,0.0005193316152891508
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),TET2,0.0,0.0005188586487074182
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),POU3F2,0.0,0.0005180968586941392
0,gene_CNV --cnv_to_mrna--> gene_mRNA (path-weighted),KDM4C,0.0,0.0005161049819770586
