layer,path,gene,TCGA-OR-A5K5|y=1,TCGA-OR-A5KO|y=3
0,mRNA→patient (gate),DPYSL5,0.02011444792151451,0.0
0,mRNA→patient (gate),GAP43,0.020113442093133926,0.0
0,mRNA→patient (gate),PPP1R14C,0.02010984532535076,0.0
0,mRNA→patient (gate),GNG2,0.020104585215449333,0.0
0,mRNA→patient (gate),BARX2,0.02008899115025997,0.0
0,mRNA→patient (gate),C11orf21,0.02007950469851494,0.0
0,mRNA→patient (gate),CBX2,0.020068328827619553,0.0
0,mRNA→patient (gate),EAF2,0.020060531795024872,0.0
0,mRNA→patient (gate),HUNK,0.02005237154662609,0.0
0,mRNA→patient (gate),DACT2,0.020041149109601974,0.0
0,mRNA→patient (gate),CCDC130,0.02003994956612587,0.0
0,mRNA→patient (gate),MPZL3,0.020037412643432617,0.0
0,mRNA→patient (gate),SLC6A8,0.02003634162247181,0.0
0,mRNA→patient (gate),FAM63A,0.02003108523786068,0.0
0,mRNA→patient (gate),TMEM25,0.020028304308652878,0.0
0,mRNA→patient (gate),RAB38,0.020025018602609634,0.0
0,mRNA→patient (gate),TMIGD2,0.020021097734570503,0.0
0,mRNA→patient (gate),COTL1,0.02002091147005558,0.0
0,mRNA→patient (gate),CHRNA5,0.020017895847558975,0.0
0,mRNA→patient (gate),CNTN2,0.020014163106679916,0.0
0,mRNA→patient (gate),ACTL6A,0.0,0.020085426047444344
0,mRNA→patient (gate),RAB40A,0.0,0.02007192000746727
0,mRNA→patient (gate),TMX1,0.0,0.02006198652088642
0,mRNA→patient (gate),ZNF382,0.0,0.020061664283275604
0,mRNA→patient (gate),SMC4,0.0,0.020059969276189804
0,mRNA→patient (gate),TXNDC16,0.0,0.020058603957295418
0,mRNA→patient (gate),DICER1,0.0,0.020057030022144318
0,mRNA→patient (gate),HSPA14,0.0,0.02005370333790779
0,mRNA→patient (gate),LDLRAD3,0.0,0.020052894949913025
0,mRNA→patient (gate),ATP11B,0.0,0.020047053694725037
0,mRNA→patient (gate),RNF150,0.0,0.020043764263391495
0,mRNA→patient (gate),RMI1,0.0,0.020036734640598297
0,mRNA→patient (gate),G2E3,0.0,0.02003098838031292
0,mRNA→patient (gate),ZNF572,0.0,0.02003006637096405
0,mRNA→patient (gate),ZNF718,0.0,0.020023170858621597
0,mRNA→patient (gate),ERI2,0.0,0.020020747557282448
0,mRNA→patient (gate),GLTSCR1L,0.0,0.020019661635160446
0,mRNA→patient (gate),CA8,0.0,0.02001773566007614
0,mRNA→patient (gate),OR2B6,0.0,0.020015981048345566
0,mRNA→patient (gate),PRPS2,0.0,0.020015791058540344
