layer,path,gene,TCGA-OR-A5K5|y=1,TCGA-OR-A5KO|y=3
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),FES,0.0039713570325071446,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),DPYSL3,0.003930097648432357,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),CDK5,0.003927365942970273,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),FYN,0.003913408383679928,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),DPYSL2,0.003912714840361153,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),TP53,0.0009690642399570429,0.00038448540463109117
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),BMI1,0.0007857276628550885,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),SCMH1,0.0007829350699013141,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RNF2,0.0007804710666932391,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RING1,0.0007801898039481526,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),PHC3,0.000780072656125343,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),PTEN,0.0006980720432022654,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),IKBKG,0.0006644499152505916,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),OTUD7A,0.0005492097332736624,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),VCPIP1,0.0005478007193337533,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),ZRANB1,0.0005472835534313589,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),APC,0.0005445618012120679,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),YOD1,0.0005427583868712893,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),OTUD7B,0.0005426962848599434,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),PSMD3,0.00045367651275115065,0.0
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RMI1,0.0,0.0018327369169674965
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RAD51,0.0,0.0014616186933227296
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RAD51C,0.0,0.0013074374313903556
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RAD17,0.0,0.0012338986802374469
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RFC3,0.0,0.0012330884753963128
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RAD51AP1,0.0,0.0012231193771802817
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RPA1,0.0,0.0012230869265278388
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),BABAM1,0.0,0.0004633772339867129
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),FIGNL1,0.0,0.00046245364141023204
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),EME1,0.0,0.0004617841476779825
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),UBE2N,0.0,0.00046006456637563177
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),BRCC3,0.0,0.0004557072417504804
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),CLSPN,0.0,0.0003838858873568768
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),POLE4,0.0,0.00030905599544474305
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),POLD4,0.0,0.00030865551800034197
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),POLE2,0.0,0.00030785636381947326
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),RAD52,0.0,0.00030770940709728273
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),POLD1,0.0,0.00030621745423254146
1,gene_Methy --methy_to_mrna--> gene_mRNA (path-weighted),ABL1,0.0,0.00030608903532465537
